#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          35       0.0000000049861748   5.3389654564513298e-33   5.5018837067022195e-33   7.6400472962771867e-25   3.7361077823162898e-23   5.3545195333434408e-33   5.1581253034522512e-24   9.9693543709271880e-26   1.1130279509192434e-25   6.3990202167789725e-24   3.1548843247958298e-24   1.4019602070324030e-24   3.0506140840675883e-25   6.2677239038590743e-27   3.0994592209539049e-28   9.4698658429047764e-30   9.8172041790791103e-32   5.0831036764990487e-33   5.5025847479861555e-33   8.9347845658332121e-33
          36       0.0000000052906890   5.3324513915924661e-33   5.5032435774748069e-33   7.3788318384129383e-25   3.7371948870727562e-23   5.3683890338220144e-33   5.1524328850078889e-24   1.0331915562337103e-25   1.0881483900481968e-25   6.3279545703977825e-24   3.1829689803002444e-24   1.4534282757212304e-24   3.2964052618021536e-25   7.0356871991567333e-27   3.7256018775810368e-28   1.2193343482242533e-29   1.3360260137921545e-31   5.0475942093000751e-33   5.5039920974005600e-33   1.0248382661917940e-32
          37       0.0000000056104289   5.3255697891264267e-33   5.5046712464400655e-33   7.1163625682270355e-25   3.7382896619290471e-23   5.3854071509652165e-33   5.1467599487358347e-24   1.0727845858184141e-25   1.0656578779411186e-25   6.2569459089784610e-24   3.2098984346434600e-24   1.5048776881451767e-24   3.5542974096767868e-25   7.8608935693271821e-27   4.4532883891110768e-28   1.5597870717592431e-29   1.8128436163897420e-31   5.0104138351326715e-33   5.5054800131809094e-33   1.2015806887316557e-32
          38       0.0000000059461558   5.3183206179139833e-33   5.5061701164939867e-33   6.8538549139188207e-25   3.7393840817921972e-23   5.4055546840394043e-33   5.1411270544177232e-24   1.1166016796107291e-25   1.0453898169821307e-25   6.1862821846531559e-24   3.2356540245694013e-24   1.5560090678531690e-24   3.8236327638095310e-25   8.7394811512212286e-27   5.2917059115301380e-28   1.9815211648489840e-29   2.4482319019723060e-31   4.9719310707050303e-33   5.5070609245371755e-33   1.4370620193588901e-32
          39       0.0000000062986691   5.3106648679804479e-33   5.5077437663913020e-33   6.5926405930078392e-25   3.7404683545582818e-23   5.4290620890440518e-33   5.1355548910675347e-24   1.1656799463685264e-25   1.0272096019998246e-25   6.1162577253480100e-24   3.2602414297276516e-24   1.6065060046504649e-24   4.1035334945645232e-25   9.6655092265652656e-27   6.2487145219162289e-28   2.4988502473388110e-29   3.2859597112779027e-31   4.9326406246772051e-33   5.5087528938986112e-33   1.7474947323677192e-32
          40       0.0000000066688080   5.3025616765026832e-33   5.5093959619307842e-33   6.3341639127720526e-25   3.7415299098718092e-23   5.4561387034766994e-33   5.1300633918954400e-24   1.2212908183214086e-25   1.0110197494040482e-25   6.0471669151043339e-24   3.2836950344009798e-24   1.6560411397361100e-24   4.3928880048975612e-25   1.0630782545973018e-26   7.3301321787290627e-28   3.1268087951833801e-29   4.3778999183768856e-31   4.8931663504571189e-33   5.5105822991262624e-33   2.1520936267368888e-32
          41       0.0000000070574539   5.2939678550524399e-33   5.5111306643534281e-33   6.0799649269144518e-25   3.7425527223232938e-23   5.4869807795284304e-33   5.1246715952663495e-24   1.2849697878691245e-25   9.9680224192914831e-26   5.9792994480370036e-24   3.3060717573304433e-24   1.7042853681414656e-24   4.6903827242940864e-25   1.1624940011019359e-26   8.5390095795518252e-28   3.8805506067980148e-29   5.7838899255618096e-31   4.8542518834076338e-33   5.5125874688368206e-33   2.6730245210685111e-32
          42       0.0000000074655320   5.2849100419911503e-33   5.5129520425997936e-33   5.8316683765982384e-25   3.7435159357970368e-23   5.5212503184809790e-33   5.1193965863839445e-24   1.3586208575851442e-25   9.8463376423712213e-26   5.9129331682706214e-24   3.3274532167108296e-24   1.7509163247178953e-24   4.9945072395261530e-25   1.2635579734866470e-26   9.8749122119582375e-28   4.7745610137601867e-29   7.5708614506998117e-31   4.8167374231164994e-33   5.5148234455189357e-33   3.3350824288829078e-32
          43       0.0000000078940141   5.2752867103690211e-33   5.5148644841028072e-33   5.5909584690986237e-25   3.7443928454314298e-23   5.5594573720448288e-33   5.1142531292063216e-24   1.4445604531273463e-25   9.7474208219131776e-26   5.8483283450015273e-24   3.3479387672939520e-24   1.7956295717725699e-24   5.3035971899748259e-25   1.3648681034891409e-26   1.1333336548474894e-27   5.8217175133350744e-29   9.8110752844990496e-31   4.7815193138780845e-33   5.5173678945557506e-33   4.1650383558781214e-32
          44       0.0000000083439203   5.2650555221371475e-33   5.5168726067530205e-33   5.3595808700753756e-25   3.7451475996897092e-23   5.6016341036036889e-33   5.1092529535393841e-24   1.5457405335313675e-25   9.6756245120857812e-26   5.7857211997981687e-24   3.3676418590722677e-24   1.8381497329979655e-24   5.6158750376147108e-25   1.4649204108758793e-26   1.2905331672846229e-27   7.0322614867373453e-29   1.2579376754000454e-30   4.7494938351764704e-33   5.5203280110537559e-33   5.1906234955698609e-32
          45       0.0000000088072848   5.2543912619556570e-33   5.5189409936983487e-33   5.1433183463114663e-25   3.7457233773215673e-23   5.6467754760144490e-33   5.1044933271212179e-24   1.6634484801566387e-25   9.6386878269543022e-26   5.7264224681469500e-24   3.3863345921756366e-24   1.8775191192992401e-24   5.9236457690278623e-25   1.5604116993070298e-26   1.4545325278256133e-27   8.3852912504356784e-29   1.5880115043695394e-30   4.7219670616376335e-33   5.5237755785902664e-33   6.4134559703554822e-32
          46       0.0000000092700285   5.2436227964205845e-33   5.5210067474111250e-33   4.9487492851364620e-25   3.7460636877757805e-23   5.6930739302920502e-33   5.1000965332011818e-24   1.7967747607447855e-25   9.6448543652318558e-26   5.6720269398974886e-24   3.4036619924047056e-24   1.9127131438460542e-24   6.2166149335872273e-25   1.6476882907595295e-26   1.6182728873495616e-27   9.8287086652169185e-29   1.9623125397881940e-30   4.6999234987265222e-33   5.5277231319274686e-33   7.8001429242590559e-32
          47       0.0000000097320239   5.2326892823577938e-33   5.5230694177966441e-33   4.7749698411201401e-25   3.7461311013347315e-23   5.7405322626862532e-33   5.0960271942628568e-24   1.9480524045626011e-25   9.7028452594342716e-26   5.6221314540734015e-24   3.4198452532914825e-24   1.9441007015815915e-24   6.4946810619321816e-25   1.7266498388527301e-26   1.7797942306703808e-27   1.1345018825180573e-28   2.3785837538854102e-30   4.6830703493104006e-33   5.5322732106816057e-33   9.3423352497328212e-32
          48       0.0000000101935697   5.2216802034435250e-33   5.5251303894573395e-33   4.6210075092641340e-25   3.7458772075263647e-23   5.7880723389224613e-33   5.0922499117819896e-24   2.1202443426285706e-25   9.8255892940265692e-26   5.5763198524650982e-24   3.4350694472696755e-24   1.9720769516074681e-24   6.7582441123243731e-25   1.7975563679870949e-26   1.9375955696120193e-27   1.2917797187438293e-28   2.8340047707626346e-30   4.6709512371647727e-33   5.5375307948663412e-33   1.1029597602993516e-31
          49       0.0000000106545368   5.2105293524114353e-33   5.5271891288617065e-33   4.4861921962014856e-25   3.7452385337719169e-23   5.8357209593684574e-33   5.0887379825907118e-24   2.3168072876301765e-25   1.0031536122964783e-25   5.5342662213767415e-24   3.4494618733551951e-24   1.9969970486680600e-24   7.0076351127784323e-25   1.8608231412719457e-26   2.0903499753910290e-27   1.4529627479104299e-28   3.3246424360901526e-30   4.6630295320031892e-33   5.5435897535670663e-33   1.2847372134905050e-31
          50       0.0000000111150016   5.1991947223057536e-33   5.5292460131834757e-33   4.3699609658082464e-25   3.7441305341934926e-23   5.8832968789883558e-33   5.0854693911559559e-24   2.5420915451434671e-25   1.0346953140166864e-25   5.4956829083495315e-24   3.4631232094862914e-24   2.0192133477834589e-24   7.2434457532395675e-25   1.9170661125653007e-26   2.2371162289400269e-27   1.6164765150325760e-28   3.8462583210834416e-30   4.6587154689451603e-33   5.5505343761642095e-33   1.4779969388704998e-31
          51       0.0000000115750640   5.1877358529747552e-33   5.5313015146080347e-33   4.2719798899199534e-25   3.7424374664965736e-23   5.9298662313449533e-33   5.0824320147069893e-24   2.8015819160254128e-25   1.0809260692643310e-25   5.4603719045400651e-24   3.4761290026328439e-24   2.0390574773742578e-24   7.4663685731584722e-25   1.9670103735579709e-26   2.3772478332268255e-27   1.7808932967454726e-28   4.3943656569203590e-30   4.6574145119948045e-33   5.5584336436586708e-33   1.6810778598476446e-31
          52       0.0000000120345683   5.1762736654349727e-33   5.5333549522157269e-33   4.1921319415822780e-25   3.7400035854198482e-23   5.9740270433476367e-33   5.0796340477746902e-24   3.1016347479510033e-25   1.1471131578090923e-25   5.4283035752687973e-24   3.4885316688016181e-24   2.0568278844126538e-24   7.6770354795927827e-25   2.0114134519259150e-26   2.5102773051543834e-27   1.9448533618974375e-28   4.9640556107591351e-30   4.6585544800181560e-33   5.5673322049600417e-33   1.8921623369404028e-31
          53       0.0000000124937528   5.1646010473144803e-33   5.5354073944860874e-33   4.1299421393212020e-25   3.7366373637475905e-23   6.0165935551001163e-33   5.0771245089329967e-24   3.4479024927749936e-25   1.2403399625517243e-25   5.3996863455755261e-24   3.5003910363362100e-24   2.0728148239068451e-24   7.8762944940768561e-25   2.0510893127588926e-26   2.6360705753666171e-27   2.1073062456232363e-28   5.5509333927520996e-30   4.6615949085669999e-33   5.5772596622507652e-33   2.1096229658181181e-31
          54       0.0000000129475896   5.1529020427364110e-33   5.5374363475959727e-33   4.0842352501560302e-25   3.7322100831498585e-23   6.0561474699791062e-33   5.0750800441291442e-24   3.8358000584543816e-25   1.3667599393187411e-25   5.3754249986086132e-24   3.5116575645130197e-24   2.0871256283054331e-24   8.0628805468167925e-25   2.0864386073288457e-26   2.7533385331116255e-27   2.2655429860864289e-28   6.1438101527722789e-30   4.6659483961053709e-33   5.5880908327851982e-33   2.3293144847074133e-31
          55       0.0000000133942507   5.1413134035630967e-33   5.5394335968517627e-33   4.0512868610854287e-25   3.7266919011446361e-23   6.0915676011632100e-33   5.0738453924220587e-24   4.2512602328100464e-25   1.5291105797120028e-25   5.3565356752837900e-24   3.5224202473759607e-24   2.0999871855042087e-24   8.2371505804426256e-25   2.1181621801232431e-26   2.8619901947055164e-27   2.4182473183355217e-28   6.7356811992081297e-30   4.6709689213977984e-33   5.5997191904218405e-33   2.5486415012540322e-31
          56       0.0000000138337157   5.1297951587168998e-33   5.5413989978999694e-33   4.0268111041264094e-25   3.7201474521593938e-23   6.1230455216182076e-33   5.0739832921567206e-24   4.6742995235184751e-25   1.7244865658377513e-25   5.3439654576169528e-24   3.5328632639036924e-24   2.1116595124090328e-24   8.4001869491305064e-25   2.1470081288575139e-26   2.9625262292949878e-27   2.5649427532430758e-28   7.3224175858489705e-30   4.6759209537032938e-33   5.6120550167731606e-33   2.7660738789718290e-31
          57       0.0000000142656306   5.1183961631575325e-33   5.5433309106316722e-33   4.0080881212962597e-25   3.7126738878893901e-23   6.1503442922397186e-33   5.0761516533153798e-24   5.0868464706187978e-25   1.9460286811783497e-25   5.3383215373497399e-24   3.5431786041603227e-24   2.1223670089019926e-24   8.5528805578282179e-25   2.1735898593709315e-26   3.0554228171729497e-27   2.7052075394137470e-28   7.9000058214793616e-30   4.6800382048632168e-33   5.6249814379879831e-33   2.9801239715016063e-31
          58       0.0000000146907281   5.1071071408487217e-33   5.5452325556628100e-33   3.9938226602735182e-25   3.7043174479689552e-23   6.1735365197456093e-33   5.0809268656863305e-24   5.4781414140577422e-25   2.1875764528132263e-25   5.3398693110550032e-24   3.5535677762030189e-24   2.1323331554412105e-24   8.6964297297750223e-25   2.1984796984097377e-26   3.1414041110207149e-27   2.8391012582594334e-28   8.4664071597083110e-30   4.6827351935541925e-33   5.6384017421478006e-33   3.1900357192121945e-31
          59       0.0000000151082625   5.0959114902235159e-33   5.5471005395325542e-33   3.9833217754153578e-25   3.6951288697401801e-23   6.1929209310201959e-33   5.0887171949604732e-24   5.8405073992867870e-25   2.4433485960365001e-25   5.3487038264130896e-24   3.5641741668470793e-24   2.1417184020924674e-24   8.8314526552044995e-25   2.2220654409299306e-26   3.2208871331181959e-27   2.9663154620957597e-28   9.0180757546976424e-30   4.6836694598295630e-33   5.6521641815135410e-33   3.3944943296684212e-31
          60       0.0000000155187946   5.0848660589889507e-33   5.5489373125026103e-33   3.9759210264858001e-25   3.6851184803751713e-23   6.2080930478528981e-33   5.0998242293613445e-24   6.1698005940803352e-25   2.7094788822957718e-25   5.3648860789353556e-24   3.5751585586067468e-24   2.1506869104024048e-24   8.9589309170995517e-25   2.2447233433921042e-26   3.2945368281918768e-27   3.0870327709469455e-28   9.5536196913995204e-30   4.6826981331571622e-33   5.6661526926112554e-33   3.5929831171827028e-31
          61       0.0000000159224548   5.0739256810086106e-33   5.5507434014848372e-33   3.9708217743574483e-25   3.6743061631904897e-23   6.2194008779025446e-33   5.1144682389842719e-24   6.4619823904308993e-25   2.9825374028998869e-25   5.3884797006848748e-24   3.5866638352262296e-24   2.1593676809079713e-24   9.0796134341163076e-25   2.2667230830828923e-26   3.3628978058235702e-27   3.2013555985486686e-28   1.0071422215898717e-29   4.6797827708176657e-33   5.6802350427429262e-33   3.7849019614579204e-31
          62       0.0000000163192006   5.0631180373703964e-33   5.5525185571370458e-33   3.9671260396493751e-25   3.6627204959835239e-23   6.2266940607226571e-33   5.1328538168870555e-24   6.7124436971729694e-25   3.2590247216019224e-25   5.4195829797826332e-24   3.5988288015946972e-24   2.1678668304133832e-24   9.1941269710514248e-25   2.2882578316081012e-26   3.4264492716586002e-27   3.3093809923076906e-28   1.0569949623078402e-29   4.6749016860001323e-33   5.6942721978876728e-33   3.9696814332950007e-31
          63       0.0000000167090228   5.0524568027866775e-33   5.5542626790326430e-33   3.9642440866233578e-25   3.6503811652697936e-23   6.2298734723220339e-33   5.1552273269161261e-24   6.9167914535218224e-25   3.5354601236510070e-25   5.4583048822430372e-24   3.6117967377111490e-24   2.1762753121980551e-24   9.3030479335399511e-25   2.3094667067235216e-26   3.4856428984851334e-27   3.4112520355237804e-28   1.1047986378767739e-29   4.6679804864548192e-33   5.7081276135971744e-33   4.1468699694243926e-31
          64       0.0000000170920811   5.0419205689823581e-33   5.5559764221832707e-33   3.9617991552353168e-25   3.6373089375543930e-23   6.2290068292696585e-33   5.1819330669010858e-24   7.0692507804198614e-25   3.8083049417648889e-25   5.5047752139944339e-24   3.6257223866924059e-24   2.1846751144831816e-24   9.4069408492757695e-25   2.3304510960199321e-26   3.5409175594515641e-27   3.5071793121223527e-28   1.1504756073683032e-29   4.6588517306185983e-33   5.7216741779484003e-33   4.3161787394591376e-31
          65       0.0000000174675477   5.0315559667558241e-33   5.5576560233501725e-33   3.9613988313813893e-25   3.6234759905932263e-23   6.2238206458458148e-33   5.2132501838808285e-24   7.1721521295827022e-25   4.0725087721838859e-25   5.5588717552851481e-24   3.6407240640526798e-24   2.1931165881672739e-24   9.5060577023245441e-25   2.3512195661589319e-26   3.5925369005593018e-27   3.5971528619133029e-28   1.1938545136270860e-29   4.6473786447322302e-33   5.7347555344340286e-33   4.4769715251228036e-31
          66       0.0000000178365812   5.0212950144647028e-33   5.5593066016834733e-33   3.9662014475966424e-25   3.6086265464357592e-23   6.2141037757092139e-33   5.2496319077039465e-24   7.2361392629236840e-25   4.3300245303928179e-25   5.6208199614369091e-24   3.6569969481561582e-24   2.2016866801620644e-24   9.6011351053011968e-25   2.3718613433007166e-26   3.6410022430917663e-27   3.6816540413818865e-28   1.2350136295590287e-29   4.6334493040660933e-33   5.7472920844504017e-33   4.6295374280944185e-31
          67       0.0000000181948449   5.0111171259104308e-33   5.5609086996432951e-33   3.9747934365217724e-25   3.5929560032525071e-23   6.2006002879647704e-33   5.2913604396339756e-24   7.2430739489230006e-25   4.5787352429715928e-25   5.6904801768799678e-24   3.6745283389900596e-24   2.2103394655855653e-24   9.6914825609642550e-25   2.3921368678132262e-26   3.6860804135617560e-27   3.7599525299791061e-28   1.2734511693266933e-29   4.6169915339747471e-33   5.7590313013168043e-33   4.7720154644775796e-31
          68       0.0000000185397851   5.0010773756991987e-33   5.5624508866429896e-33   3.9771922446766636e-25   3.5774331689383022e-23   6.1845303159364856e-33   5.3389029809213428e-24   7.1257368312803910e-25   4.7985912118713794e-25   5.7672911096606143e-24   3.6933670010688330e-24   2.2190604560743691e-24   9.7769033021746470e-25   2.4118826651981562e-26   3.7278069376026104e-27   3.8318649777627334e-28   1.3089391736627926e-29   4.5979501674010365e-33   5.7698142597110356e-33   4.9035597558145043e-31
          69       0.0000000188768513   4.9910637899977997e-33   5.5639575594296082e-33   3.9703536186982974e-25   3.5625262401696659e-23   6.1672016711607604e-33   5.3925249857372974e-24   6.8665132637496701e-25   4.9620744621024513e-25   5.8506204919486169e-24   3.7139079508803626e-24   2.2280317035357932e-24   9.8591348274181078e-25   2.4313818197681492e-26   3.7671390821164948e-27   3.8988592806696546e-28   1.3420847364336388e-29   4.5770249605516118e-33   5.7797508800985726e-33   5.0264198877689386e-31
          70       0.0000000192103664   4.9809826189037456e-33   5.5654480735949104e-33   3.9583031433518320e-25   3.5481362464895382e-23   6.1493022792615756e-33   5.4512224255731947e-24   6.5057239523771198e-25   5.0576451326918177e-25   5.9388136696387753e-24   3.7364197329709920e-24   2.2374130257649739e-24   9.9395411326805681e-25   2.4508591649897452e-26   3.8047907153969832e-27   3.9619887506786215e-28   1.3733087943852189e-29   4.5555309849347959e-33   5.7888976616963056e-33   5.1421554429070892e-31
          71       0.0000000195400986   4.9708625342923109e-33   5.5669214170267956e-33   3.9433419233794544e-25   3.5343068196396998e-23   6.1313114163670917e-33   5.5132508729143210e-24   6.0798671145610078e-25   5.0849699614186203e-25   6.0293632634050084e-24   3.7608123937247477e-24   2.2472303910891700e-24   1.0018345838188672e-24   2.4702753838948192e-26   3.8409113801516087e-27   4.0213637427920027e-28   1.4025750434167699e-29   4.5344781722563927e-33   5.7971799219422867e-33   5.2506312151688629e-31
          72       0.0000000198658566   4.9607426473244243e-33   5.5683767611904289e-33   3.9265042053258214e-25   3.5210992498172534e-23   6.1134857950539002e-33   5.5770202737614613e-24   5.6165886988541532e-25   5.0482926899613679e-25   6.1200651478842915e-24   3.7869370114730587e-24   2.2574902029496463e-24   1.0095777421313186e-24   2.4895840478672724e-26   3.8756609191621434e-27   4.0771558610713268e-28   1.4298925669722161e-29   4.5146188181107713e-33   5.8045680350049177e-33   5.3518805510084201e-31
          73       0.0000000201877286   4.9506540280804668e-33   5.5698145249043146e-33   3.9081854770546911e-25   3.5085751388834037e-23   6.0960344394446548e-33   5.6410587897293611e-24   5.1390298913733603e-25   4.9531321827615622e-25   6.2090145871638082e-24   3.8146302309063579e-24   2.2681865873674225e-24   1.0172121111607911e-24   2.5087396808514155e-26   3.9092426283927182e-27   4.1296710141624408e-28   1.4553658527432465e-29   4.4965996990860825e-33   5.8111267454773745e-33   5.4462910891715683e-31
          74       0.0000000205062115   4.9405838916416085e-33   5.5712369577412656e-33   3.8886605581557334e-25   3.4967688041514532e-23   6.0793986218727063e-33   5.7037505723604848e-24   4.6728128926218439e-25   4.8071753591699685e-25   6.2943088446020228e-24   3.8437077005847101e-24   2.2793063618847020e-24   1.0247752406913208e-24   2.5277110684998128e-26   3.9419201810380675e-27   4.1793907597771181e-28   1.4792339491253092e-29   4.4809398891405429e-33   5.8170645462247808e-33   5.5347502781627389e-31
          75       0.0000000208217433   4.9305750125287902e-33   5.5726460483779788e-33   3.8679933387485016e-25   3.4857032214824515e-23   6.0636205284406611e-33   5.7633688150666099e-24   4.2433535354182215e-25   4.6219520217631178e-25   6.3740386968867264e-24   3.8738994212606282e-24   2.2908092665801899e-24   1.0323029783401692e-24   2.5464641404938462e-26   3.9739770049475178e-27   4.2269327531897031e-28   1.5018913108268323e-29   4.4677291159820004e-33   5.8228392032161627e-33   5.6187236382552031e-31
          76       0.0000000211074606   4.9214206715038948e-33   5.5739218850459461e-33   3.8475975105171198e-25   3.4763014164036144e-23   6.0508694973382884e-33   5.8136496865276039e-24   3.8999216998865434e-25   4.4319043584796172e-25   6.4403660614228785e-24   3.9020850341348398e-24   2.3015751074734275e-24   1.0391707219681548e-24   2.5633649179625795e-26   4.0029602854211879e-27   4.2691267835343294e-28   1.5220983759658847e-29   4.4575944913676802e-33   5.8288719712021399e-33   5.6936244581162963e-31
          77       0.0000000214074638   4.9118316419020929e-33   5.5752614368158520e-33   3.8252635265991339e-25   3.4670708267785270e-23   6.0387274490060544e-33   5.8613021251059206e-24   3.6030433949875327e-25   4.2251239964743901e-25   6.5024963258546140e-24   3.9320573000145898e-24   2.3131192052849572e-24   1.0464508499488236e-24   2.5809774204203806e-26   4.0336181217915617e-27   4.3135126598002042e-28   1.5441419010075612e-29   4.4486067944496363e-33   5.8387626125919532e-33   5.7753655355639427e-31
          78       0.0000000217125094   4.9020127949245907e-33   5.5766234665911517e-33   3.8017971014076740e-25   3.4584231838507126e-23   6.0288829514381988e-33   5.9032600947026600e-24   3.3743842915671421e-25   4.0240650646850775e-25   6.5567106283913107e-24   3.9622794933491813e-24   2.3249405258835249e-24   1.0539348935668755e-24   2.5987005042065069e-26   4.0653489625047792e-27   4.3603119624335173e-28   1.5703218070540169e-29   4.4413886353385724e-33   5.8654103320571468e-33   5.8725941047954374e-31
          79       0.0000000220069783   4.8924471964429171e-33   5.5779382850737498e-33   3.7784813792420196e-25   3.4508801503065538e-23   6.0225276617284843e-33   5.9367777743030085e-24   3.2204599845232958e-25   3.8534021304560316e-25   6.6001002227101458e-24   3.9904287662055875e-24   2.3362343213589518e-24   1.0612289145668763e-24   2.6155864093948605e-26   4.0968045193309335e-27   4.4093105262067260e-28   1.6070864926790545e-29   4.4368051472646193e-33   5.9981294006660141e-33   6.0100862929782226e-31
          80       0.0000000222846496   4.8834976661134409e-33   5.5791781753286149e-33   3.7547645566640706e-25   3.4447426902819988e-23   6.0192487754147141e-33   5.9618637840598661e-24   3.1139281651319320e-25   3.7180089252668108e-25   6.6334268016985256e-24   4.0153265822946738e-24   2.3466112374157425e-24   1.0681392219855310e-24   2.6312545776524159e-26   4.1273489454964140e-27   4.4608766180617807e-28   1.6685372552300006e-29   4.4355382336692473e-33   6.8082421380672739e-33   6.2457823611840482e-31
          81       0.0000000225501816   4.8748605270637568e-33   5.5803639907199935e-33   3.7359276914930221e-25   3.4394403331345266e-23   6.0201824576720608e-33   5.9789792901419427e-24   3.0701187457052842e-25   3.6228321680817686e-25   6.6592860447101874e-24   4.0370694662039950e-24   2.3561980654296249e-24   1.0747467765092147e-24   2.6459759729440793e-26   4.1574626962692020e-27   4.5161889153329640e-28   1.7649459817925413e-29   4.4376420985406089e-33   9.9819469638548483e-33   6.6345883118637717e-31
          82       0.0000000227962299   4.8670056835622495e-33   5.5814629411152460e-33   3.7201099636222586e-25   3.4347537779829042e-23   6.0228325558138236e-33   5.9926489996698206e-24   3.0454321845758540e-25   3.5569980492165373e-25   6.6806725697512126e-24   4.0559604221216147e-24   2.3648392635809056e-24   1.0808759172190666e-24   2.6593854915180691e-26   4.1863980314413746e-27   4.5739965497035653e-28   1.8854353049019878e-29   4.4434453211247262e-33   1.4972070408778085e-32   7.1307458767503428e-31
          83       0.0000000230163817   4.8600219209105912e-33   5.5824463704434477e-33   3.7042091131340697e-25   3.4306467249948370e-23   6.0271646168480656e-33   6.0051311758205999e-24   3.0251067197538769e-25   3.5064055800523776e-25   6.6988361293419114e-24   4.0721132306034213e-24   2.3723552069899340e-24   1.0863513732316243e-24   2.6711866596391572e-26   4.2131086461767854e-27   4.6318383499797539e-28   2.0351560915477871e-29   4.4536839130221029e-33   2.0696545842461294e-32   7.7425116856804233e-31
          84       0.0000000232250009   4.8535991511612162e-33   5.5833783902459254e-33   3.6901409518722430e-25   3.4267388169114582e-23   6.0312155899308782e-33   6.0174207250825989e-24   3.0067507576256127e-25   3.4641162365546963e-25   6.7157437651115376e-24   4.0868452080982204e-24   2.3793098888715207e-24   1.0915292437903748e-24   2.6822095280385176e-26   4.2392553114473979e-27   4.6933072397658280e-28   2.2283865873160825e-29   4.4712463224179389e-33   2.6890389229534836e-32   8.5201182647347580e-31
          85       0.0000000234354251   4.8470122463994007e-33   5.5843185620752970e-33   3.6757013080741349e-25   3.4228416542747621e-23   6.0371336137126372e-33   6.0299086336204194e-24   2.9884377270249624e-25   3.4252223049859553e-25   6.7325386615540627e-24   4.1012374810536984e-24   2.3861544991679470e-24   1.0967388737016530e-24   2.6931574686407064e-26   4.2665072150832622e-27   4.7628720925808826e-28   2.4823442233232395e-29   4.5021271081948922e-33   3.3380525302881405e-32   9.5256031017688248e-31
          86       0.0000000236514916   4.8403066880190887e-33   5.5852840218725360e-33   3.6612836058892043e-25   3.4188595528932067e-23   6.0437267588664844e-33   6.0428742208449429e-24   2.9704975573402202e-25   3.3886277734436027e-25   6.7495841198795602e-24   4.1156145271509280e-24   2.3930019390399879e-24   1.1020695915155888e-24   2.7041903735244737e-26   4.2953589775526438e-27   4.8424976203073570e-28   2.8071422949672541e-29   4.5542650128821993e-33   3.9629569667616959e-32   1.0791048995875835e-30
          87       0.0000000238726746   4.8334657049575279e-33   5.5862724126563207e-33   3.6466375229004323e-25   3.4148381077577927e-23   6.0511176191959746e-33   6.0562871863639760e-24   2.9497182233818312e-25   3.3536221264643500e-25   6.7669083561768209e-24   4.1299699508420768e-24   2.3998213444824899e-24   1.1074985243680557e-24   2.7152354997380944e-26   4.3256366723741041e-27   4.9322558339621970e-28   3.2131832348454628e-29   4.6386141332832144e-33   4.5523087887555343e-32   1.2353839131732147e-30
          88       0.0000000240972778   4.8265137747572071e-33   5.5872761474696638e-33   3.6323196303498709e-25   3.4107911501140087e-23   6.0593811028174607e-33   6.0699776011331179e-24   2.9286324863727227e-25   3.3199188509098834e-25   6.7843594086080175e-24   4.1442163747014119e-24   2.4065715741469859e-24   1.1129804876037366e-24   2.7262022954036509e-26   4.3570509448437139e-27   5.0303301195472217e-28   3.6873269092384269e-29   4.7684734611656553e-33   5.0713385824854501e-32   1.4161829408942685e-30
          89       0.0000000243258804   4.8194524535327107e-33   5.5882978092154576e-33   3.6183376842275579e-25   3.4067097158081950e-23   6.0683383115029143e-33   6.0839693590153357e-24   2.9069889348395064e-25   3.2874063526633701e-25   6.8019614846201949e-24   4.1584168188101937e-24   2.4132782674759602e-24   1.1185306443500911e-24   2.7371127458055388e-26   4.3896968525844953e-27   5.1359361960850297e-28   4.2120366029312193e-29   4.9516163283341541e-33   5.4988754169034060e-32   1.6147951936316040e-30
          90       0.0000000245585017   4.8122919522053286e-33   5.5893374788427561e-33   3.6048150447837933e-25   3.4025874273026583e-23   6.0778616808432236e-33   6.0982552622029205e-24   2.8852076790390235e-25   3.2561005073641812e-25   6.8197134378177081e-24   4.1725909388140569e-24   2.4199396066471754e-24   1.1241485940062657e-24   2.7479493095378261e-26   4.4235626427488965e-27   5.2484908207505286e-28   4.7762418073985337e-29   5.1896124353398628e-33   5.8374181923771667e-32   1.8271454720430367e-30
          91       0.0000000247953219   4.8050058041951797e-33   5.5903959565510590e-33   3.5918890333216628e-25   3.3984108636352791e-23   6.0880636206228792e-33   6.1128383452935732e-24   2.8639938153361384e-25   3.2259166977580040e-25   6.8376535676039655e-24   4.1867641418970984e-24   2.4265545930164217e-24   1.1298356103278984e-24   2.7586948762758173e-26   4.4586375716764935e-27   5.3677092470474604e-28   5.3761719425714134e-29   5.4831139631920567e-33   6.1051683352154874e-32   2.0520192792238558e-30
