#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          22       0.0000000020009576   3.6856965445082702e-33   5.4617302000458762e-33   1.3780971667253838e-24   3.7458348916750361e-23   9.7826759202250090e-33   5.2169883642872593e-24   3.6152130851423035e-25   8.0179855589878295e-25   7.4180939308152012e-24   1.6693727892122333e-24   2.6858111266166007e-25   5.0054895803417037e-26   4.6266183040658070e-28   1.6921136771808842e-28   5.1225903277934470e-29   8.0093473874331142e-30   3.8646518885598617e-33   1.0235451351970165e-32   3.0667563774082030e-31
          23       0.0000000021529713   3.6836463222500022e-33   5.4623736119464173e-33   1.3496547636077084e-24   3.7442885604571083e-23   9.4527944577404006e-33   5.1959038138995038e-24   3.0794014678117325e-25   6.6363097715077001e-25   7.5454829485123688e-24   1.7812917948841698e-24   2.8516728521019757e-25   5.7802543304889201e-26   5.2795835284395957e-28   2.1025423241539797e-28   7.2303139847292393e-29   1.3418680764404724e-29   3.9037906334826263e-33   1.5298652660006570e-32   5.1208449361553873e-31
          24       0.0000000023125858   3.6814698198094689e-33   5.4630489747840776e-33   1.3293566079262413e-24   3.7430525730910538e-23   9.1355968125351941e-33   5.1606501474619002e-24   2.7061853227415162e-25   5.5815940677712685e-25   7.6493442170289356e-24   1.8746891021773685e-24   2.9872913353170411e-25   6.4939346303594168e-26   5.8912075896619959e-28   2.5165144247984452e-28   9.6967332098770518e-29   2.1209064153975611e-29   3.9504818732208564e-33   2.4367445847199311e-32   8.0968597756793162e-31
          25       0.0000000024801809   3.6791515630882609e-33   5.4637579864339232e-33   1.3162297972963962e-24   3.7419633907894004e-23   8.8299466028925597e-33   5.1163326908473474e-24   2.4331982991091550e-25   4.7834553633005858e-25   7.7367862101827472e-24   1.9521749135113933e-24   3.1039150326956209e-25   7.1417238169132052e-26   6.4698664638268892e-28   2.9260410036559858e-28   1.2466834692559777e-28   3.1910350287556190e-29   4.0046854457478961e-33   3.9595161613189225e-32   1.2212575954688066e-30
          26       0.0000000026561559   3.6766965500822750e-33   5.4645024172702868e-33   1.3091256744827100e-24   3.7408480713195785e-23   8.5349219480552340e-33   5.0657714751002685e-24   2.2337697344496019e-25   4.1810389729496676e-25   7.8124399963865348e-24   2.0169589678590454e-24   3.2108803924810056e-25   7.7290030871090108e-26   7.0270363451891933e-28   3.3278918530233159e-28   1.5481426440505315e-28   4.6052827206436417e-29   4.0662237386351129e-33   6.3812132973772533e-32   1.7692699780896664e-30
          27       0.0000000028409296   3.6741106424139490e-33   5.4652841152572671e-33   1.3069944546267289e-24   3.7395045925590178e-23   8.2499381497746372e-33   5.0104183403910579e-24   2.1043960888817937e-25   3.7247524817032701e-25   7.8792000463060893e-24   2.0722985333049107e-24   3.3149599967658809e-25   8.2674658220363260e-26   7.5747661516471022e-28   3.7223306406117593e-28   1.8684907272889207e-28   6.4158012374435824e-29   4.1348226095607289e-33   1.0060819148895263e-31   2.4766284185397868e-30
          28       0.0000000030349419   3.6713612099847240e-33   5.4661050078248649e-33   1.3090314784234872e-24   3.7376726666353451e-23   7.9748704856408793e-33   4.9510226521691674e-24   2.0556589123630845e-25   3.3769052848648883e-25   7.9389297774444554e-24   2.1211280644262542e-24   3.4205910925897008e-25   8.7717516786995588e-26   8.1243909338579767e-28   4.1118779074399549e-28   2.2029952325938853e-28   8.6732915628227273e-29   4.2101187692176690e-33   1.5441243778149285e-31   3.3665401594631955e-30
          29       0.0000000032386549   3.6684257878363137e-33   5.4669671059242314e-33   1.3147406391551280e-24   3.7350389474202356e-23   7.7098510250921134e-33   4.8880756142600500e-24   2.1048416408598217e-25   3.1120854611559158e-25   7.9928254731329924e-24   2.1658124877640595e-24   3.5304145153077459e-25   9.2564385407516947e-26   8.6856354164453676e-28   4.5000284355766702e-28   2.5478302971593785e-28   1.1432721106381341e-28   4.2917924525477041e-33   2.3094297900391531e-31   4.4650816077822051e-30
          30       0.0000000034525535   3.6653402305713546e-33   5.4678725133915447e-33   1.3238606122292366e-24   3.7311945636705818e-23   7.4538463051799199e-33   4.8219702925593567e-24   2.2735546680132161e-25   2.9160827873865986e-25   8.0418689275303046e-24   2.2083034184463498e-24   3.6459540676145421e-25   9.7367221697075074e-26   9.2679699763988452e-28   4.8918310867369860e-28   2.9005659445505550e-28   1.4736046399788551e-28   4.3796757170665287e-33   3.3633494465292969e-31   5.7939273490807465e-30
          31       0.0000000036771471   3.6620577697825038e-33   5.4688234220176528e-33   1.3361898771565554e-24   3.7256926816575135e-23   7.2061722539574594e-33   4.7531916401236422e-24   2.5742888228036302e-25   2.7932652075458850e-25   8.0870433918362881e-24   2.2499381140626112e-24   3.7679339573024196e-25   1.0225404980937327e-25   9.8793008324214895e-28   5.2924854831111606e-28   3.2599731772724101e-28   1.8626044587441629e-28   4.4738594379318775e-33   4.7771854721493429e-31   7.3760509825678526e-30
