                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
    1.131712081240073e-10         108439727061.995   -1.128290769022007e+19       0.3425528979395267                        0                        0                        0    1.806835935281781e+20    4.465305298409819e+27    3.410883928050458e+28     3.85741445789149e+28
    1.740352359077723e-10        108445328500.1999   -1.127281227359177e+19        2.523550064983738                        0                        0                        0    1.805220458225985e+20    4.465667353180384e+27    3.413785413464384e+28    3.860352148782519e+28
    2.379424650807255e-10        108451210010.3153   -1.126370624528045e+19        3.002292622339155                        0                        0                        0    1.803763118060812e+20    4.466422939497095e+27     3.41678390737896e+28    3.863426201328641e+28
    3.050450557123263e-10        108457385595.9364   -1.125534291349305e+19        3.767893042880132                        0                        0                        0    1.802424373891277e+20    4.467725381784146e+27     3.41986960592554e+28    3.866642144104022e+28
    3.755027758755072e-10        108463869960.8383   -1.124698965981659e+19       -3.478830037704029                        0                        0                        0    1.801086923730093e+20     4.46963364133587e+27    3.423042200086509e+28    3.870005564220155e+28
    4.494833820468471e-10        108470678543.9855   -1.123810568765578e+19       0.8032401786258561                        0                        0                        0    1.799664146438737e+20    4.472060796234423e+27     3.42631612157075e+28    3.873522201194177e+28
     5.27163018526754e-10          108477827556.29   -1.122813289362392e+19        7.381339272280456                        0                        0                        0     1.79806664391572e+20    4.474889298632206e+27    3.429708945808531e+28    3.877197875671771e+28
    6.087266368306563e-10        108485334019.2097   -1.121694362493506e+19        1.892561070209922                        0                        0                        0    1.796273883461443e+20    4.477851785861919e+27    3.433253406599428e+28    3.881038585185594e+28
    6.943684360497537e-10        108493215805.2755   -1.120484239247129e+19      -0.8076334977304214                        0                        0                        0    1.794334437436211e+20    4.480591459774071e+27    3.436991345601874e+28    3.885050491579273e+28
     7.84292325229806e-10        108501491680.6445   -1.119201574150896e+19        1.183652975481891                        0                        0                        0    1.792278196972808e+20    4.483810915711117e+27    3.440858923294339e+28    3.889240014865399e+28
    8.787124088688609e-10        108510181349.7819   -1.117851940068896e+19        14.54414256778546                        0                        0                        0    1.790113800488792e+20    4.487234794967622e+27    3.444890198321921e+28     3.89361367781864e+28
    9.778534966898684e-10        108519305502.3763   -1.116440263988268e+19        9.089116968214512                        0                        0                        0    1.787849197779697e+20    4.491131347442467e+27    3.449064913909232e+28    3.898178048653429e+28
    1.081951638901926e-09        108528885862.6003   -1.114971875879177e+19        9.219718903012108                        0                        0                        0    1.785492612345382e+20    4.494639933685951e+27    3.453475918015551e+28    3.902939911384125e+28
    1.191254688224588e-09        108538945240.8356   -1.113446862601733e+19        -9.37963876419235                        0                        0                        0    1.783044166509819e+20    4.498773582362393e+27    3.458028758699165e+28    3.907906116935392e+28
    1.306022890013382e-09        108549507587.9826   -1.111844067900378e+19        2.980032822582871                        0                        0                        0    1.780469841518574e+20    4.503338373198439e+27    3.462749611113954e+28    3.913083448433785e+28
    1.426529501891615e-09         108560598052.487   -1.110142826767598e+19      -0.1341914833756164                        0                        0                        0    1.777736304930773e+20    4.507615835809704e+27    3.467717064328427e+28    3.918478647909447e+28
    1.553061444363761e-09        108572243040.2166   -1.108334834058206e+19       -8.295486066956073                        0                        0                        0    1.774830201018348e+20    4.512488101365958e+27    3.472849567140137e+28    3.924098377276755e+28
    1.685919983959513e-09        108584470277.3328   -1.106422531500795e+19        23.82817681576125                        0                        0                        0    1.771755224777346e+20    4.517791989851236e+27    3.478169877000372e+28    3.929949075985513e+28
    1.825421450535054e-09        108597308876.3045   -1.104426073630248e+19        22.81519990702509                        0                        0                        0    1.768543350115988e+20    4.523034173448342e+27    3.483733603733552e+28    3.936037021078434e+28
    1.971897990439371e-09         108610789405.225   -1.102341203995891e+19         12.4732183500164                        0                        0                        0    1.765187521860439e+20    4.528730675501404e+27    3.489495232780184e+28    3.942368300330323e+28
    2.125698357338904e-09        108624943960.5915   -1.100148757301517e+19       -5.862516028650134                        0                        0                        0    1.761656893879342e+20    4.534711705388452e+27    3.495477330843593e+28    3.948948501382437e+28
    2.287188742583415e-09        108639806243.7263   -1.097820194909685e+19        8.071455802491982                        0                        0                        0    1.757905460155447e+20    4.541072056245115e+27    3.501675185483837e+28    3.955782391108336e+28
     2.45675364709015e-09        108655411641.0179   -1.095377629981092e+19        30.49398671259405                        0                        0                        0    1.753968214165002e+20    4.547806726977052e+27    3.508093679126284e+28    3.962874351823948e+28
    2.634796796822222e-09        108671797308.1741   -1.092807152857209e+19        19.27504343564215                        0                        0                        0    1.749822631808501e+20    4.554898436184396e+27    3.514737758306245e+28    3.970227601924665e+28
    2.821742104040898e-09         108689002258.688   -1.090097878600151e+19        17.66350457188673                        0                        0                        0    1.745450964628726e+20    4.562418289777149e+27    3.521602473740279e+28    3.977844302717979e+28
    3.018034676620507e-09        108707067456.7277   -1.087244128414582e+19       -19.08347526052967                        0                        0                        0    1.740843770138261e+20    4.570419385791406e+27    3.528683104473629e+28    3.985725043052824e+28
    3.224141877829097e-09        108726035914.6692   -1.084239327520636e+19       -8.704138581466395                        0                        0                        0     1.73599009866649e+20    4.578857509246386e+27    3.535983150437716e+28    3.993868901362378e+28
    3.440554439098117e-09         108745952795.508   -1.081075201830072e+19        13.89802185585722                        0                        0                        0    1.730876236439782e+20    4.587845441451599e+27    3.543488390539582e+28    4.002272934684779e+28
    3.667787628430587e-09        108766865520.3887   -1.077742745340776e+19        13.56016921275295                        0                        0                        0    1.725487284831256e+20    4.597215893865724e+27     3.55121061529861e+28    4.010932204685181e+28
    3.906382477229681e-09        108788823881.5133   -1.074231796975193e+19        14.01606376608834                        0                        0                        0     1.71980670171523e+20    4.607271177784675e+27    3.559112113825497e+28    4.019839231603925e+28
     4.15690706846873e-09        108811880160.6942   -1.070531571555582e+19         2.82119233708363                        0                        0                        0    1.713816714915373e+20    4.617912548288634e+27    3.567192738462194e+28    4.028983993291043e+28
    4.419957889269731e-09        108836089253.8342   -1.066630724500265e+19        13.99266750959214                        0                        0                        0     1.70749875233997e+20    4.629171789033729e+27    3.575436347597559e+28    4.038353526500924e+28
    4.696161251110782e-09        108861508801.6311   -1.062518895049974e+19        26.88885213603498                        0                        0                        0    1.700835788927277e+20    4.641109725898679e+27    3.583821017373969e+28     4.04793198996385e+28
    4.986174781043886e-09        108888199326.8179   -1.058183740327642e+19       -17.57399494427955                        0                        0                        0    1.693807733342694e+20    4.653720942894893e+27    3.592328417635379e+28    4.057700511924906e+28
    5.290688987473645e-09        108916224378.2641   -1.053612257513364e+19       -33.03858421984478                        0                        0                        0    1.686393356287697e+20     4.66719687914085e+27    3.600917582488662e+28    4.067637270402729e+28
    5.610428904224892e-09        108945650682.2825   -1.048790633106734e+19        37.73096358339535                        0                        0                        0    1.678570478353971e+20     4.68152582635497e+27     3.60956505565655e+28    4.077717638292005e+28
    5.946155816813702e-09        108976548301.5019   -1.043704349234235e+19       -18.20013185683638                        0                        0                        0    1.670315736472316e+20    4.696698591895875e+27    3.618244743848402e+28    4.087914603037973e+28
    6.298669075031951e-09        109008990801.6822   -1.038338033765717e+19        11.47425880527589                        0                        0                        0    1.661604260442961e+20    4.712747086516307e+27    3.626924520081738e+28    4.098199228733386e+28
    6.668807996161114e-09        109043055426.8716   -1.032675315427732e+19        41.23773095197976                        0                        0                        0    1.652410391089801e+20    4.729658946412313e+27     3.63557584569443e+28    4.108541740335661e+28
    7.057453863346734e-09        109078823283.3204   -1.026698783093941e+19        39.21214697521646                        0                        0                        0    1.642706951312853e+20    4.747742302731292e+27    3.644138512960812e+28    4.118912743233899e+28
    7.465532023891636e-09        109116379532.5917   -1.020389851623152e+19       0.8349905053619295                        0                        0                        0    1.632464866623088e+20    4.767221303666377e+27    3.652562785283274e+28    4.129284915649895e+28
    7.894014092463783e-09        109155813594.3266   -1.013728654745836e+19       -25.28583731979597                        0                        0                        0    1.621653437637166e+20     4.78727854687998e+27    3.660907004521064e+28    4.139634859209082e+28
    8.343920264464537e-09        109197219359.1481   -1.006694114595423e+19        23.72197042754851                        0                        0                        0    1.610240640229472e+20    4.809017521395083e+27    3.669044468748254e+28    4.149946220887772e+28
    8.807284767561808e-09        109239863721.0971   -9.994063640388876e+18        11.52255897055147                        0                        0                        0    1.598424703784819e+20    4.831424322802787e+27    3.676879614609312e+28    4.160022046889545e+28
    9.270028510922059e-09        109282450953.2861   -9.920850655945724e+18        47.40173463372048                        0                        0                        0    1.586564239327156e+20    4.853994325457391e+27    3.684194196311246e+28    4.169593628857029e+28
