# Analytic Sedov solution at t = 0.01 for a spherical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 512
#      eblast = 1.0
#      xgeom  = 3.0q0
#      omega  = 0.0q0
#      outfile = 'spherical_sedov.dat'
#
#      time   = 0.01q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
  109  2.542969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  110  2.566406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  111  2.589844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  112  2.613281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  113  2.636719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  114  2.660156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  115  2.683594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  116  2.707031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  117  2.730469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  118  2.753906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  119  2.777344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  120  2.800781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  121  2.824219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  122  2.847656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  123  2.871094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  124  2.894531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  125  2.917969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  126  2.941406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  127  2.964844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  128  2.988281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  129  3.011719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  130  3.035156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  131  3.058594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  132  3.082031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  133  3.105469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  134  3.128906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  135  3.152344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  136  3.175781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  137  3.199219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  138  3.222656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  139  3.246094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  140  3.269531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  141  3.292969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  142  3.316406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  143  3.339844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  144  3.363281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  145  3.386719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  146  3.410156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  147  3.433594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  148  3.457031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  149  3.480469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  150  3.503906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  151  3.527344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  152  3.550781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  153  3.574219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  154  3.597656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  155  3.621094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  156  3.644531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  157  3.667969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  158  3.691406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  159  3.714844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  160  3.738281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  161  3.761719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  162  3.785156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  163  3.808594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  164  3.832031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  165  3.855469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  166  3.878906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  167  3.902344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  168  3.925781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  169  3.949219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  170  3.972656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  171  3.996094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  172  4.019531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  173  4.042969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
